Size,Size in Mb,,,,,,,
19M,19,19,,,,,,
14M,14,14,,,,,,
8.7M,8.7,8.7,,18.15345815,Mean,,,
25M,25,25,,9.2,Median,,,
2.8M,2.8,2.8,,22.17118557,Stddev,,,
5.6M,5.6,5.6,,,,,,
19M,19,19,,,,,,
29M,29,29,,,,,0,1
33M,33,33,,,,,10,2
3.1M,3.1,3.1,,,,,20,3
28M,28,28,,,,,30,4
12M,12,12,,,,,40,5
20M,20,20,,,,,50,6
21M,21,21,,,,,60,7
37M,37,37,,,,,70,8
2.7M,2.7,2.7,,,,,80,9
5.5M,5.5,5.5,,,,,90,10
17M,17,17,,,,,100,11
39M,39,39,,,,,110,12
31M,31,31,,,,,120,13
14M,14,14,,,,,130,14
12M,12,12,,,,,,
4.2M,4.2,4.2,,,,,,
7.0M,7.0,7,,,,,,
23M,23,23,,,,,,
6.0M,6.0,6,,,,,,
25M,25,25,,,,,,
6.1M,6.1,6.1,,,,,,
4.6M,4.6,4.6,,,,,,
4.2M,4.2,4.2,,,,,,
9.2M,9.2,9.2,,,,,,
5.2M,5.2,5.2,,,,,,
11M,11,11,,,,,,
11M,11,11,,,,,,
4.2M,4.2,4.2,,,,,,
9.2M,9.2,9.2,,,,,,
24M,24,24,,,,,,
Varies with device,0,0,,,,,,
11M,11,11,,,,,,
9.4M,9.4,9.4,,,,,,
15M,15,15,,,,,,
10M,10,10,,,,,,
Varies with device,0,0,,,,,,
1.2M,1.2,1.2,,,,,,
12M,12,12,,,,,,
24M,24,24,,,,,,
26M,26,26,,,,,,
8.0M,8.0,8,,,,,,
7.9M,7.9,7.9,,,,,,
25M,25,25,,,,,,
56M,56,56,,,,,,
57M,57,57,,,,,,
Varies with device,0,0,,,,,,
35M,35,35,,,,,,
33M,33,33,,,,,,
33M,33,33,,,,,,
5.6M,5.6,5.6,,,,,,
54M,54,54,,,,,,
201k,0.196289063,0.196289063,,,,,,
3.6M,3.6,3.6,,,,,,
5.7M,5.7,5.7,,,,,,
17M,17,17,,,,,,
8.6M,8.6,8.6,,,,,,
2.4M,2.4,2.4,,,,,,
27M,27,27,,,,,,
2.7M,2.7,2.7,,,,,,
2.5M,2.5,2.5,,,,,,
Varies with device,0,0,,,,,,
Varies with device,0,0,,,,,,
7.0M,7.0,7,,,,,,
35M,35,35,,,,,,
16M,16,16,,,,,,
16M,16,16,,,,,,
Varies with device,0,0,,,,,,
17M,17,17,,,,,,
3.4M,3.4,3.4,,,,,,
8.9M,8.9,8.9,,,,,,
3.9M,3.9,3.9,,,,,,
2.9M,2.9,2.9,,,,,,
38M,38,38,,,,,,
32M,32,32,,,,,,
37M,37,37,,,,,,
15M,15,15,,,,,,
5.4M,5.4,5.4,,,,,,
18M,18,18,,,,,,
Varies with device,0,0,,,,,,
38M,38,38,,,,,,
1.1M,1.1,1.1,,,,,,
Varies with device,0,0,,,,,,
Varies with device,0,0,,,,,,
7.9M,7.9,7.9,,,,,,
35M,35,35,,,,,,
Varies with device,0,0,,,,,,
17M,17,17,,,,,,
19M,19,19,,,,,,
14M,14,14,,,,,,
2.2M,2.2,2.2,,,,,,
4.5M,4.5,4.5,,,,,,
17M,17,17,,,,,,
14M,14,14,,,,,,
9.8M,9.8,9.8,,,,,,
21M,21,21,,,,,,
Varies with device,0,0,,,,,,
52M,52,52,,,,,,
14M,14,14,,,,,,
25M,25,25,,,,,,
9.0M,9.0,9,,,,,,
Varies with device,0,0,,,,,,
12M,12,12,,,,,,
Varies with device,0,0,,,,,,
35M,35,35,,,,,,
6.7M,6.7,6.7,,,,,,
30M,30,30,,,,,,
5.7M,5.7,5.7,,,,,,
2.9M,2.9,2.9,,,,,,
17M,17,17,,,,,,
2.9M,2.9,2.9,,,,,,
Varies with device,0,0,,,,,,
Varies with device,0,0,,,,,,
2.6M,2.6,2.6,,,,,,
4.2M,4.2,4.2,,,,,,
7.1M,7.1,7.1,,,,,,
57M,57,57,,,,,,
3.7M,3.7,3.7,,,,,,
22M,22,22,,,,,,
24M,24,24,,,,,,
7.4M,7.4,7.4,,,,,,
21M,21,21,,,,,,
3.4M,3.4,3.4,,,,,,
2.9M,2.9,2.9,,,,,,
3.1M,3.1,3.1,,,,,,
6.4M,6.4,6.4,,,,,,
3.2M,3.2,3.2,,,,,,
8.2M,8.2,8.2,,,,,,
9.9M,9.9,9.9,,,,,,
2.9M,2.9,2.9,,,,,,
23M,23,23,,,,,,
4.6M,4.6,4.6,,,,,,
3.1M,3.1,3.1,,,,,,
Varies with device,0,0,,,,,,
4.9M,4.9,4.9,,,,,,
9.5M,9.5,9.5,,,,,,
Varies with device,0,0,,,,,,
Varies with device,0,0,,,,,,
Varies with device,0,0,,,,,,
Varies with device,0,0,,,,,,
Varies with device,0,0,,,,,,
4.2M,4.2,4.2,,,,,,
5.4M,5.4,5.4,,,,,,
Varies with device,0,0,,,,,,
2.8M,2.8,2.8,,,,,,
5.0M,5.0,5,,,,,,
Varies with device,0,0,,,,,,
5.9M,5.9,5.9,,,,,,
13M,13,13,,,,,,
7.1M,7.1,7.1,,,,,,
6.7M,6.7,6.7,,,,,,
Varies with device,0,0,,,,,,
17M,17,17,,,,,,
19M,19,19,,,,,,
6.7M,6.7,6.7,,,,,,
21M,21,21,,,,,,
Varies with device,0,0,,,,,,
2.7M,2.7,2.7,,,,,,
37M,37,37,,,,,,
15M,15,15,,,,,,
23M,23,23,,,,,,
19M,19,19,,,,,,
23M,23,23,,,,,,
73M,73,73,,,,,,
4.9M,4.9,4.9,,,,,,
6.8M,6.8,6.8,,,,,,
Varies with device,0,0,,,,,,
Varies with device,0,0,,,,,,
2.9M,2.9,2.9,,,,,,
3.5M,3.5,3.5,,,,,,
4.0M,4.0,4,,,,,,
21M,21,21,,,,,,
2.3M,2.3,2.3,,,,,,
Varies with device,0,0,,,,,,
7.2M,7.2,7.2,,,,,,
10M,10,10,,,,,,
6.1M,6.1,6.1,,,,,,
